Designator,Mid X,Mid Y,Layer,Rotation
C1,22.50,23.40,Top,0.0
C3,22.50,34.10,Top,0.0
C5,22.50,44.40,Top,0.0
C7,22.50,12.80,Top,0.0
C9,39.75,48.90,Top,270.0
C10,41.85,48.90,Top,90.0
C12,35.35,51.55,Top,270.0
C13,27.40,66.85,Top,180.0
C14,37.55,52.83,Top,270.0
D2,27.30,71.80,Top,0.0
FUSE,45.95,50.10,Top,180.0
IC1,37.45,56.30,Top,90.0
R1,46.10,46.60,Top,180.0
R2,46.15,53.35,Top,180.0
R3, 8.55,46.95,Top,90.0
R4,10.95,46.95,Top,90.0
R5,35.40,47.25,Top,180.0
R6,39.65,45.40,Top,0.0
R7,27.00,13.90,Top,270.0
R8,26.90,34.85,Top,270.0
R9,30.45,47.05,Top,180.0
R10,27.10,24.45,Top,270.0
R11,35.35,44.90,Top,180.0
U1,24.00, 8.60,Top,90.0
U2,24.00,19.20,Top,90.0
U3,24.00,29.60,Top,90.0
U4,24.00,40.20,Top,90.0
U5,40.80,52.75,Top,180.0
U6,30.20,53.05,Top,0.0
U8,34.07,69.46,Top,0.0
VCC,45.94,56.85,Top,180.0
