Designator,Mid X,Mid Y,Layer,Rotation
C1,22.50,23.40,Top,0.0
C3,22.50,34.10,Top,0.0
C5,22.50,44.40,Top,0.0
C7,22.50,12.80,Top,0.0
C9,39.40,25.80,Top,0.0
C10,29.60,24.80,Top,0.0
C12,29.95,18.95,Top,90.0
FUSE,45.20,51.20,Top,270.0
R1,45.20,55.20,Top,90.0
R2,45.20,47.20,Top,90.0
R3,24.75,47.75,Top,90.0
R4, 9.95,47.10,Top,90.0
R5,41.80,11.60,Top,270.0
R6,38.80,20.80,Top,270.0
R7,45.20,27.00,Top,90.0
R8,45.30,34.40,Top,90.0
R9,45.40,38.00,Top,90.0
R10,45.20,30.80,Top,90.0
R11,42.00,20.80,Top,270.0
U$2,15.00,59.00,Top,180.0
U1,24.00, 8.60,Top,90.0
U2,24.00,19.20,Top,90.0
U3,24.00,29.60,Top,90.0
U4,24.00,40.20,Top,90.0
U5,34.20,22.20,Top,0.0
U6,34.40,10.00,Top,90.0
VCC,45.20,42.99,Top,270.0
