Comment,Designator,Footprint,LCSC Part #
0.1uF,C13,0805-NO,
0.01uF,C14,0805-NO,
0.1uF/50V,C1 C3 C5 C7,0805-NO,
1.5K,R1,RESC2012X65,
1uF,C9 C10,0805-NO,
10K,R4 R5 R6 R11,RESC2012X65,
10uF,C12,0805-NO,
22K,R7 R8 R9 R10,RESC2012X65,
47nF,C8 C11,0805-NO,
60,R12 R14 R15 R16,RESC2012X65,
62K,R3,RESC2012X65,
470,R2,RESC2012X65,
DRV8871,U1 U2 U3 U4,HSOP8,
LED_BLUE,VCC,LEDC2012X110N_FLAT-B,
LED_RED,FUSE,LEDC2012X110N_FLAT-R,
LTC4311_SC70,IC1,SC70-6L,
NCP718ASN500T1GTSOT23-5_ONS,U5,TSOT23-5_ONS,
TCA9548APWR,U6,SOP65P640X120-24N,
TJA1050,U8,SOT96-1,
XIAO-RP2350-SMD,U7,XIAO-RP2350-SMD,
